date,total,num_good,num_bad
2005-01-20,1,1,0
2005-05-28,1,1,0
2005-06-28,1,1,0
2005-07-01,1,1,0
2005-07-11,2,1,1
2005-08-03,1,1,0
2005-09-11,1,1,0
2005-09-12,1,1,0
2005-09-26,1,1,0
2005-10-17,1,1,0
2005-11-18,1,1,0
2005-11-25,1,1,0
2005-12-13,1,1,0
2005-12-24,1,0,1
2006-01-25,1,1,0
2006-02-06,1,1,0
2006-02-27,1,0,1
2006-03-01,1,1,0
2006-03-03,1,1,0
2006-03-04,1,1,0
2006-03-06,1,1,0
2006-03-07,1,1,0
2006-03-08,1,0,1
2006-03-10,2,0,2
2006-03-13,1,0,1
2006-03-15,2,2,0
2006-03-20,1,0,1
2006-03-21,1,1,0
2006-03-22,1,1,0
2006-03-23,2,1,1
2006-03-27,1,1,0
2006-03-30,2,1,1
2006-03-31,2,2,0
2006-04-03,2,1,1
2006-04-04,1,1,0
2006-04-05,1,1,0
2006-04-06,3,2,1
2006-04-12,1,1,0
2006-04-14,1,1,0
2006-04-18,1,1,0
2006-04-19,1,1,0
2006-04-20,2,2,0
2006-04-21,1,0,1
2006-04-24,3,3,0
2006-04-25,2,1,1
2006-04-26,2,1,1
2006-04-27,1,1,0
2006-04-28,2,0,2
2006-05-01,1,1,0
2006-05-02,3,3,0
2006-05-03,1,0,1
2006-05-04,3,2,1
2006-05-05,2,2,0
2006-05-08,5,5,0
2006-05-09,2,2,0
2006-05-10,3,3,0
2006-05-11,1,1,0
2006-05-12,2,0,2
2006-05-13,2,2,0
2006-05-15,4,3,1
2006-05-16,1,1,0
2006-05-18,5,3,2
2006-05-19,1,1,0
2006-05-20,1,1,0
2006-05-22,1,1,0
2006-05-23,2,2,0
2006-05-24,3,1,2
2006-05-25,3,3,0
2006-05-26,1,1,0
2006-05-27,1,1,0
2006-05-30,2,2,0
2006-06-01,5,4,1
2006-06-02,1,1,0
2006-06-05,2,2,0
2006-06-06,1,0,1
2006-06-07,1,0,1
2006-06-08,3,3,0
2006-06-12,1,1,0
2006-06-14,3,3,0
2006-06-15,1,0,1
2006-06-16,2,2,0
2006-06-17,2,2,0
2006-06-19,3,1,2
2006-06-21,2,1,1
2006-06-22,3,3,0
2006-06-23,4,4,0
2006-06-26,2,0,2
2006-06-27,4,2,2
2006-06-28,4,3,1
2006-06-29,3,1,2
2006-06-30,3,3,0
2006-07-01,2,0,2
2006-07-03,2,1,1
2006-07-04,1,0,1
2006-07-05,2,2,0
2006-07-06,4,3,1
2006-07-07,2,1,1
2006-07-08,2,2,0
2006-07-10,3,2,1
2006-07-11,1,0,1
2006-07-12,3,3,0
2006-07-13,3,3,0
2006-07-15,1,1,0
2006-07-17,3,3,0
2006-07-18,2,2,0
2006-07-19,3,3,0
2006-07-20,1,1,0
2006-07-21,3,3,0
2006-07-22,3,2,1
2006-07-26,3,1,2
2006-07-27,2,1,1
2006-07-28,4,4,0
2006-08-01,4,2,2
2006-08-02,1,1,0
2006-08-03,2,2,0
2006-08-04,2,2,0
2006-08-05,2,1,1
2006-08-07,1,0,1
2006-08-08,4,4,0
2006-08-09,2,2,0
2006-08-10,5,3,2
2006-08-11,3,3,0
2006-08-14,1,0,1
2006-08-15,1,1,0
2006-08-16,1,1,0
2006-08-18,3,1,2
2006-08-19,1,1,0
2006-08-23,3,2,1
2006-08-24,2,2,0
2006-08-25,2,2,0
2006-08-26,2,2,0
2006-08-28,4,3,1
2006-08-29,1,1,0
2006-08-30,2,2,0
2006-08-31,1,0,1
2006-09-01,2,2,0
2006-09-02,1,1,0
2006-09-04,1,1,0
2006-09-05,3,1,2
2006-09-06,1,1,0
2006-09-07,2,1,1
2006-09-08,2,2,0
2006-09-11,2,2,0
2006-09-12,1,1,0
2006-09-13,4,3,1
2006-09-14,5,4,1
2006-09-15,1,1,0
2006-09-16,1,1,0
2006-09-18,1,1,0
2006-09-19,1,1,0
2006-09-20,1,1,0
2006-09-21,5,5,0
2006-09-22,3,3,0
2006-09-25,1,0,1
2006-09-26,2,1,1
2006-09-27,1,1,0
2006-09-28,2,2,0
2006-10-02,1,1,0
2006-10-03,1,1,0
2006-10-04,4,4,0
2006-10-05,3,3,0
2006-10-07,2,2,0
2006-10-09,3,2,1
2006-10-10,4,3,1
2006-10-11,3,2,1
2006-10-12,3,2,1
2006-10-13,4,2,2
2006-10-14,3,3,0
2006-10-16,4,3,1
2006-10-18,1,0,1
2006-10-19,2,2,0
2006-10-20,2,1,1
2006-10-22,1,1,0
2006-10-23,1,1,0
2006-10-25,1,1,0
2006-10-26,1,1,0
2006-10-27,1,1,0
2006-10-28,1,1,0
